IDPeticion;Codi;Nom;SSTT;DataPlanificada;Data tancament ;Excedent previst ;EXCENDENT que té el centre  ;Incidental pendent previst ;Equips en incidencia CENTRE ;Equips a recollir a la visita (excedents mès averiats) previst;equips retirats ;disposen del total del equips a retirar ?;e-Valisa necessària?;e-Valisa sol·licitada;e-Valisa rebuda;MOTIU discrepancia ;observacions;Columna1;;;;;;
2198852;8064970;INSTITUT LA GIRADA;PEN;12/1/2025;12/1/2025;2;2;1;0;2;2;NO;NO;;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198851;43012307;INSTITUT ESCOLA DANIEL MANGRANÉ;TAR;12/1/2025;12/1/2025;8;0;2;2;8;2;NO;SI;;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198985;17006769;INSTITUT DE LLANÇÀ;GIR;12/1/2025;12/1/2025;20;0;8;7;8;7;SI;NO;;;;"Parlem amb Adria Sabater, coordinador TIC, nomes tenen els 7 equips d'incidencia, l'equip que falta d'incidencia funciona correctament, el van ficar d'incident per error, es aquest 254005066619	300e 2 N4120 8Gb 128Gb 11.6""";;;;;;;
2198977;8075712;INSTITUT LES CINC SÉNIES;MVO;12/1/2025;12/1/2025;58;0;25;24;58;24;NO;SI;;;El centre no te equipament excedent i nomes tenen 24 equips d'incidencia;;;;;;;;
2198979;17005731;INSTITUT S'AGULLA;GIR;12/1/2025;12/1/2025;23;21;7;7;23;28;NO;NO;;;El centre entrega mes equipament d'excedent;;;;;;;;
2198994;8040539;INSTITUT LES MARINES;BLL;13/1/2025;13/1/2025;12;12;0;0;12;12;SI;NO;;;;;;;;;;;
2198996;8023131;INSTITUT BALDIRI GUILERA;BLL;13/1/2025;13/1/2025;12;12;0;0;12;12;SI;NO;;;;;;;;;;;
2198997;8045513;INSTITUT FLOS I CALCAT;CEB;13/1/2025;13/1/2025;28;28;3;5;28;28;SI;NO;;;;;;;;;;;
2198998;8046608;INSTITUT PRÍNCEP DE VIANA;CEB;13/1/2025;13/1/2025;24;22;20;19;24;22;NO;NO;;;El centre indica que 2 equips d'incidència han estat robats i tenen denùncia posada.;;;;;;;;
2198861;43009977;INSTITUT D'ALTAFULLA;TAR;13/1/2025;13/1/2025;15;0;30;30;30;30;SI;NO;;;;;;;;;;;
2198872;43010608;INSTITUT SERRA DE MIRAMAR;TAR;13/1/2025;13/1/2025;11;0;17;17;17;17;NO;SI;;;Parlem amb Javier Ametller Borras i ens comenta que els equips que no ens emportem d'excedents (11), els tenen repartits entre els alumnes.;;;;;;;;
2198890;43009497;INSTITUT FONTS DEL GLORIETA;TAR;13/1/2025;13/1/2025;5;0;6;6;6;6;SI;NO;;;;;;;;;;;
2198993;17010839;INSTITUT DE PERALADA;GIR;13/1/2025;13/1/2025;15;3;6;0;15;3;NO;SI;;;Esther Pirirs, coordinadora informàtica, ens indica que podem retirar 3 equips excedents, al llistat apareix un equip d'incidencia pero ja se li va fer el canvi i ara es funcional.;;;;;;;;
2198992;8052906;INSTITUT LAURO;MVO;13/1/2025;13/1/2025;53;0;16;17;53;17;NO;SI;;;El centre no te excedent.;;;;;;;;
2198991;8061099;INSTITUT FONT DEL FERRO;MVO;13/1/2025;13/1/2025;55;0;5;9;55;0;NO;SI;;;El centre no te excedent i retirem mes incidencies de les previstes;;;;;;;;
2198990;8044612;INSTITUT TORRE DE MALLA;MVO;13/1/2025;13/1/2025;57;16;6;3;57;19;NO;SI;;;El centre no te mes excedents;;;;;;;;
2199008;8043589;INSTITUT SALVADOR DALÍ;BLL;14/1/2025;14/1/2025;12;12;4;4;12;12;SI;NO;;;;;;;;;;;
2199011;8046581;INSTITUT LLUÍS VIVES;CEB;14/1/2025;14/1/2025;21;6;16;6;21;6;NO;SI;SI;;El centre nomès te identicats els 6 equips d'incidencia como equipament d'excedent.;;;;;;;;
2199012;8077010;INSTITUT ESCOLA COVES D'EN CIMANY;CEB;14/1/2025;14/1/2025;20;17;2;0;20;17;NO;NO;;;El centre fa entrega de tot l'equipament d'excedent que té identificat.;;;;;;;;
2199007;17009801;INSTITUT ESCOLA SALVADOR VILARRASA;GIR;14/1/2025;14/1/2025;10;13;3;2;10;13;NO;NO;;;El centre ens dona excedents de mes;;;;;;;;
2199006;8046797;INSTITUT LAIA L'ARQUERA;MVO;14/1/2025;14/1/2025;46;0;39;42;42;42;NO;NO;;;El centre ens dona incidencies de mes, 254300043126, 254001600958 aquests saces son d'incidencia pero funcionan correctament;;;;;;;;
2199005;8060915;INSTITUT MARIA DE BELL-LLOC;MVO;14/1/2025;14/1/2025;50;0;30;24;50;24;NO;SI;;;El centre no te excedents, ens han donat 24 equips d'incidencia;;;;;;;;
2199004;17010815;INSTITUT ESCOLA VILA-ROMÀ;GIR;14/1/2025;14/1/2025;12;11;0;0;12;11;NO;NO;;;El centre dona tot l'excedent;;;;;;;;
2199003;8017931;INSTITUT ANTONI CUMELLA;MVO;14/1/2025;14/1/2025;52;42;51;4;52;46;NO;SI;;;El centre ens dona tot l'excedent i les incidencies que te;;;;;;;;
2199023;8071691;INSTITUT ESCOLA DEL PRAT;BLL;15/1/2025;15/1/2025;5;0;0;0;5;0;NO;SI;SI;SI;El centre indica que no disposa de cap equipament d'excedent.;;;;;;;;
2199026;8013159;INSTITUT INFANTA ISABEL D'ARAGÓ;CEB;15/1/2025;15/1/2025;16;11;12;0;16;11;NO;NO;;;El centre facilita tot l'equipament d'excedents que tenen identificats;;;;;;;;
2199027;8013238;INSTITUT VERDAGUER;CEB;15/1/2025;15/1/2025;9;0;3;0;9;0;NO;SI;SI;SI;El centre indica que no té equipament d'excdent perque els alumnes no l'nan tornat i esta denunciat.;Rafa: E-valisa de denúncia de 9 ordinadors;;;;;;;
2199022;17010803;INSTITUT ESCOLA VALL DE RIBES;GIR;15/1/2025;15/1/2025;10;0;5;5;10;5;NO;SI;;;El centre indica que no tenen excedents;;;;;;;;
2199021;8065421;INSTITUT MARTA MATA;MVO;15/1/2025;15/1/2025;41;0;1;0;41;0;NO;SI;;;El centre indica que no tenen excedents i l'equip d'incidencia no el troben.;;;;;;;;
2199020;8044594;INSTITUT GIOLA;MVO;15/1/2025;15/1/2025;44;19;13;8;44;27;NO;SI;;;El centre ens dona tot l'excedent i les incidencies que tenen;;;;;;;;
2199019;17010189;INSTITUT VALL DE LLÉMENA;GIR;15/1/2025;15/1/2025;10;1;5;0;10;1;NO;SI;;;El centre ens dona un equip excedent;;;;;;;;
2199018;17009813;INSTITUT ESCOLA MESTRE ANDREU;GIR;15/1/2025;15/1/2025;10;0;3;3;14;3;NO;SI;;;El centre indica que no tenen excedents;;;;;;;;
2199037;8077101;INSTITUT ESCOLA TRES FONTS DE LES CORTS;CEB;16/1/2025;16/1/2025;9;1;5;1;9;1;NO;SI;SI;;El centre nomès facilita 1 equipament d'excedent amb incidental.;;;;;;;;
2199038;8052581;INSTITUT MIQUEL TARRADELL;CEB;16/1/2025;16/1/2025;5;5;2;1;5;6;SI;NO;;;;;;;;;;;
2198912;8020620;INSTITUT POMPEU FABRA;BLL;19/1/2025;19/1/2025;43;37;41;37;43;37;NO;SI;;;El centre facilita tot l'equipament d'excedents i incidèncias que tenene disponibles.;;;;;;;;
2199043;8052608;INSTITUT PAU CLARIS;CEB;19/1/2025;19/1/2025;4;0;0;0;4;0;NO;NO;;;El centre indica que no té cap equipament d'excedent perque els té repartits als alumnes.;;;;;;;;
2199042;8065469;INSTITUT CAN RECORD;MVO;19/1/2025;19/1/2025;33;0;18;16;33;16;NO;SI;;;El centre no te equipament excedent, ens entregan les incidencies que tenen;;;;;;;;
2199041;8035234;INSTITUT VIL·LA ROMANA;MVO;19/1/2025;19/1/2025;35;0;33;21;35;21;NO;SI;;;El centre no te equipament excedent, ens entregan les incidencies que tenen;;;;;;;;
2199040;8076534;INSTITUT ESCOLA MONTAGUT;MVO;19/1/2025;19/1/2025;36;16;30;0;36;16;NO;SI;;;El centre no te equipament d'incidencia.;;;;;;;;
2199039;17002387;INSTITUT MONTSACOPA;GIR;19/1/2025;19/1/2025;39;20;18;18;39;38;NO;NO;;;El centre entrega menys equipament, li falta per entregar el SACE: 254005244978 per robatori;;;;;;;;
2279244;8041866;"	INSTITUT EL CALAMOT";BLL;20/1/2025;20/1/2025;56;56;0;0;56;56;SI;NO;;;;;;;;;;;
2199047;8062808;INSTITUT ESTEVE ALBERT;MVO;20/1/2025;20/1/2025;26;4;22;22;26;26;SI;NO;;;;;;;;;;;
2199046;8046852;INSTITUT LLAVANERES;MVO;20/1/2025;20/1/2025;27;92;2;0;27;92;NO;NO;;;El centre ens dona molt mes equipament excedent pero no troben l'equip d'incidencia;;;;;;;;
2199045;8053017;INSTITUT VALERIÀ PUJOL I BOSCH;MVO;20/1/2025;20/1/2025;28;24;13;13;28;37;NO;NO;;;;;;;;;;;
2199052;8046864;INSTITUT BELLULLA;MVO;21/1/2025;21/1/2025;22;11;11;11;22;22;SI;NO;;;;;;;;;;;
2199051;8065411;INSTITUT AIGUAVIVA;MVO;21/1/2025;21/1/2025;23;23;11;0;23;23;SI;NO;;;;;;;;;;;
2199050;8077782;INSTITUT ESCOLA MIQUEL MARTÍ I POL;MVO;21/1/2025;21/1/2025;24;12;3;2;24;14;NO;SI;;;El centre es vol quedar 2 equips excedents i 1 d'incidencia.;;;;;;;;
2198978;17010840;INSTITUT LA SUREDA;GIR;21/1/2025;21/1/2025;25;0;10;0;25;0;NO;SI;;;El centre no te material ni d'incidencia ni d'excedent.;;;;;;;;
2199057;8043486;INSTITUT MANOLO HUGUÉ;MVO;22/1/2025;22/1/2025;16;17;4;1;16;18;NO;NO;;;El centre ens dona mes material del previst;;;;;;;;
2199055;8077368;INS ESC CALDES DE MONTBUI;MVO;22/1/2025;22/1/2025;21;0;15;15;21;15;NO;SI;;;El centre ha denunciat que un equip esta desparegut;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
