IDPeticion;Codi;Nom;SSTT;DataPlanificada;Data tancament ;Excedent previst ;EXCENDENT que té el centre  ;Incidental pendent previst ;Equips en incidencia CENTRE ;Equips a recollir a la visita (excedents mès averiats) previst;equips retirats ;disposen del total del equips a retirar ?;e-Valisa necessària?;e-Valisa sol·licitada;e-Valisa rebuda;MOTIU discrepancia ;observacions;Columna1;;;;;;
2198649;08054174;INSTITUT LA RIBERA;VOC;31/10/2025;31/10/2025;55;36;0;0;55;36;NO;SI;SI;No vàlida;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;Evalisa reclamada de nou (19 de gener/parlat amb el secretari). Enviat correu recordatori el  23);;;;;;;
2198652;25007153;INSTITUT D'ALCARRÀS;LLE;31/10/2025;31/10/2025;44;44;30;30;44;44;SI;NO;;;;;;;;;;;
2198702;8061038;INSTITUT DE VILANOVA DEL VALLÈS;MVO;11/10/2025;11/11/2025;98;62;16;16;98;62;NO;SI;;;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;;;;;;;;
2198697;17000551;INSTITUT SA PALOMERA;GIR;11/10/2025;11/10/2025;78;78;13;13;78;78;SI;NO;;;;;;;;;;;
2198709;17009795;INSTITUT ESCOLA FRANCESC CAMBÓ I BATLLE;GIR;11/11/2025;11/11/2025;52;53;12;12;52;53;SI;NO;;;El centre entrega mes equipament del previst , indicant que el te com a excedent;;;;;;;;
2198701;8044570;INSTITUT VALL D'ARÚS;BLL;10/11/2025;10/11/2025;65;0;27;0;65;0;NO;SI;;;No es retira res perque el centre indica que no tenen cap equipamet d'excedent i el material amb incidental el tenen els alumnes pendent de reparació.;Assessor BLL: En principi, amb data 19-12-2025, m'informa l'Adelina per correu, que s'estava executant la retirada dels portàtils excedents. Reviseu aquesta dada.;;;;;;;
2198700;8035209;INSTITUT PABLO R. PICASSO;CEB;10/11/2025;10/11/2025;84;69;6;6;84;69;NO;SI;SI;SI;El centre ha lliurat l’equipament excedent a alumnat d’altres nivells.;lliurats a batxillerat;;;;;;;
2198711;8063801;INSTITUT DE COLLBATÓ;BLL;11/11/2025;11/11/2025;61;60;49;49;61;60;NO;NO;;;El centre indica que un dels equips d'excedent s'ha entregat a un alumne.;Asssessor BLL: Aquest centre incrementarà un alumne al gener de 2026 que està fent un programa d'estudis a l'estranger i no consta a la matrícula del centre. En aquest cas es demana no fer cap mena d'actuació ja que al gener la matrícula quadrarà amb les dades, que és d'un portàtil;;;;;;;
2198713;8075074;INSTITUT DE SANTA COLOMA DE GRAMENET;BNS;11/11/2025;11/11/2025;61;0;32;0;61;0;NO;SI;SI;SI;El centre indica que un dels equips d'excedent s'ha entregat a un alumne.;Assessor BNS: Excedents fets servir per cobrir incidències i INDIC no actualitzat abans del 15 d'octubre;;;;;;;
2198714;8053042;INSTITUT MIQUEL MARTÍ I POL;CCE;11/11/2025;11/11/2025;47;47;22;47;47;47;SI;NO;;;;;;;;;;;
2198710;8045021;INSTITUT ESTELA IBÈRICA;VOC;11/11/2025;11/11/2025;77;77;17;17;77;77;SI;NO;;;;;;;;;;;
2198707;25005685;INSTITUT LA SEGARRA;LLE;10/11/2025;10/11/2025;12;0;16;16;16;16;SI;NO;;;;;;;;;;;
2198718;25004188; INSTITUT JOAN BRUDIEU;APA;11/11/2025;11/11/2025;2;2;13;0;2;2;NO;NO;;;incidental ja substituït amb anterioritat;;;;;;;;
